Time,T107_C_Avg,SHF_Avg,PSPWatt_UP_Avg,PIRWatt_UP_Avg,PSPWatt_DOWN_Avg,PIRWatt_DOWN_Avg
01/07 21:59:36,17.266666666666666,12.554000000000002,0.0,383.10999999999996,0.034766666666666675,384.48333333333335
01/07 22:29:35,17.206,12.394333333333334,0.0,382.7433333333335,0.10933333333333331,383.8766666666667
01/07 22:59:35,17.163333333333338,11.492333333333335,0.0,382.54666666666685,0.2103,383.8466666666667
01/07 23:29:35,17.126,11.591,0.0,382.38000000000005,0.1764666666666667,383.46000000000004
01/07 23:59:35,17.077999999999996,11.748000000000001,3.3333333333333335e-05,382.14,0.13683333333333333,383.3
01/08 00:29:35,17.032666666666657,11.562333333333335,0.0,381.6000000000001,0.14333333333333328,382.60999999999996
01/08 00:59:35,16.98833333333334,11.880999999999998,0.0,381.21666666666675,0.12903333333333333,382.1733333333333
01/08 01:29:34,16.926000000000002,13.200999999999999,0.0,380.17333333333335,0.04016666666666667,381.1566666666667
01/08 01:59:34,16.850333333333328,13.728000000000002,0.0,379.1466666666666,0.10996666666666664,380.0733333333332
01/08 02:29:34,16.772333333333332,14.915333333333328,0.0,377.88,0.042099999999999985,379.15333333333336
01/08 02:59:34,16.662333333333333,17.325,0.0,375.5333333333334,0.027000000000000003,377.2566666666666
01/08 03:29:34,16.543333333333333,18.056,0.0,374.9333333333334,0.25176666666666664,376.4966666666667
01/08 03:59:34,16.44766666666667,17.03966666666667,0.018233333333333334,376.4700000000001,0.5977333333333333,378.3700000000001
01/08 04:29:34,16.38066666666667,16.457,0.0,376.64000000000004,0.15760000000000002,377.91666666666674
01/08 04:59:33,16.310333333333336,16.853333333333335,0.0,374.7633333333333,0.129,376.18000000000006
01/08 05:29:33,16.238000000000003,17.04966666666667,0.0,374.26000000000005,0.2977999999999999,375.7366666666668
01/08 05:59:33,16.179666666666677,15.928,0.0067,375.7966666666667,0.45326666666666654,377.7366666666667
01/08 06:29:33,16.14666666666666,14.505666666666665,8.699433333333333,375.54333333333335,1.7586333333333333,377.68666666666655
01/08 06:59:33,16.128666666666668,13.995333333333337,25.991000000000003,377.05333333333334,4.471566666666667,378.39666666666653
01/08 07:29:33,16.085333333333327,14.685333333333334,78.03866666666666,376.9733333333333,17.702099999999998,379.24999999999994
01/08 07:59:33,16.107666666666667,9.593266666666668,226.5633333333334,393.4700000000001,67.74666666666666,399.15333333333336
01/08 08:29:32,16.24866666666666,2.627100000000001,341.63666666666666,418.4366666666666,78.42366666666665,426.87666666666684
01/08 08:59:32,16.452333333333332,-1.7085666666666666,491.8066666666667,432.44000000000017,85.80666666666664,442.8333333333334
01/08 09:29:32,16.653666666666666,-3.8738999999999995,548.32,439.0299999999999,90.93033333333334,449.9533333333332
01/08 09:59:32,16.851666666666667,-7.147033333333332,566.7199999999999,441.8266666666667,99.73333333333333,451.68999999999994
01/08 10:29:32,17.057666666666666,-25.476,677.8366666666665,447.5566666666666,106.95333333333332,454.87
01/08 10:59:32,17.423333333333336,-55.66666666666667,690.3466666666668,457.92333333333323,107.99666666666667,461.9933333333334
01/08 11:29:31,18.15033333333333,-62.73633333333334,731.88,459.7366666666667,107.84666666666666,462.20000000000005
01/08 11:59:31,19.202999999999996,-61.89233333333333,734.0899999999997,461.21333333333337,89.41766666666668,462.5566666666666
01/08 12:29:31,19.582666666666668,-32.97366666666665,710.6633333333335,460.5766666666666,88.64266666666663,461.21333333333337
01/08 12:59:31,19.37833333333333,-12.619666666666665,660.03,459.84999999999997,88.59066666666668,459.90666666666664
01/08 13:29:31,19.19233333333333,-7.422266666666668,543.88,459.90666666666664,62.38766666666666,459.23999999999995
01/08 13:59:31,19.14233333333333,-3.8605000000000005,528.4033333333333,458.71333333333337,74.55666666666667,457.39666666666665
01/08 14:29:31,19.067666666666664,0.3415666666666665,447.7133333333333,457.0566666666667,64.764,455.2066666666666
01/08 14:59:30,18.978666666666676,3.0877,363.14,451.68666666666667,46.822,449.80666666666656
01/08 15:29:30,18.87333333333333,6.1983,193.696,443.8166666666666,7.698466666666666,443.6833333333334
01/08 15:59:30,18.720666666666666,9.242733333333335,54.321000000000005,435.4166666666667,8.4782,435.2433333333334
01/08 16:29:30,18.543000000000003,11.897666666666668,42.68233333333332,424.52333333333326,5.759766666666665,424.7133333333333
01/08 16:59:30,18.345000000000002,14.599,3.0426666666666664,411.51666666666665,0.0,413.3366666666667
01/08 17:29:30,18.130000000000003,17.45633333333333,0.0,401.57,0.0,404.06
01/08 17:59:30,17.907666666666664,19.471,0.0,394.1566666666667,0.0,396.7333333333334
01/08 18:29:29,17.680000000000003,21.467000000000002,0.0,388.49999999999994,0.0,390.7966666666667
01/08 18:59:29,17.46933333333333,21.41733333333333,0.0,384.53000000000003,0.0,386.54666666666674
01/08 19:29:29,17.305999999999997,19.73366666666667,0.0,382.2266666666665,3.3333333333333335e-05,383.95333333333326
01/08 19:59:29,17.21633333333333,16.62366666666667,0.017666666666666667,382.19999999999993,0.22609999999999994,383.4933333333333
01/08 20:29:29,17.11433333333333,17.973666666666666,0.0,381.0966666666665,0.0334,382.6166666666667
01/08 20:59:29,17.03866666666665,15.408333333333331,0.023533333333333333,381.32666666666665,0.4700333333333333,383.12
01/08 21:29:28,17.033,11.751666666666665,0.17516666666666666,383.03333333333336,0.6901666666666668,385.84
01/08 21:59:28,17.056,10.116000000000003,0.09293333333333331,385.5000000000001,0.6459,386.60999999999996
01/08 22:29:28,17.08133333333332,9.133333333333333,0.19440000000000002,386.8,0.6431333333333332,388.26
01/08 22:59:28,17.10533333333334,8.696666666666665,0.21146666666666666,387.4966666666666,0.6222666666666665,388.63
01/08 23:29:28,17.119333333333334,8.467666666666666,0.2626,388.01333333333326,0.3903333333333333,389.33
01/08 23:59:28,17.135333333333328,7.981866666666667,0.3716999999999999,388.87,0.3909666666666667,389.9166666666666
01/09 00:29:28,17.135333333333328,9.081999999999999,0.03236666666666667,389.14000000000004,0.07753333333333333,389.8033333333332
01/09 00:59:27,17.105333333333338,10.434,0.0,387.9,0.0,388.6333333333333
01/09 01:29:27,17.031333333333336,13.723000000000004,0.0,384.84000000000003,0.0,386.0366666666667
01/09 01:59:27,16.913666666666668,15.750666666666664,0.0,381.5966666666667,0.0,383.13000000000005
01/09 02:29:27,16.824333333333332,14.036999999999997,0.0,380.5366666666668,0.11299999999999999,381.81666666666655
01/09 02:59:27,16.77133333333333,13.474333333333334,0.0,380.6800000000002,0.09586666666666661,381.8166666666669
01/09 03:29:27,16.736666666666675,12.587333333333332,0.0,380.8833333333333,0.21529999999999994,381.89333333333326
01/09 03:59:27,16.662000000000003,16.285666666666668,0.0,378.8366666666667,0.0,380.3366666666667
